"","Year","State","irrigated_sum","non_irrigated_sum","total","pc_irr","pc_non_irr"
"293",1996,"COLORADO",153,65.5,218.5,0.700228832951945,0.299771167048055
"294",1996,"KANSAS",177,105,282,0.627659574468085,0.372340425531915
"295",1996,"MONTANA",137,0,137,1,0
"296",1996,"NEBRASKA",156.4,115,271.4,0.576271186440678,0.423728813559322
"297",1996,"NEW MEXICO",175,0,175,1,0
"298",1996,"NORTH DAKOTA",120.2,87.4,207.6,0.578998073217726,0.421001926782274
"299",1996,"OKLAHOMA",171,82.5,253.5,0.674556213017751,0.325443786982249
"300",1996,"SOUTH DAKOTA",140,98,238,0.588235294117647,0.411764705882353
"301",1996,"TEXAS",172.3,40.5,212.8,0.80968045112782,0.19031954887218
"302",1996,"WYOMING",124,50,174,0.71264367816092,0.28735632183908
"303",1997,"COLORADO",161,62.5,223.5,0.720357941834452,0.279642058165548
"304",1997,"KANSAS",176,92,268,0.656716417910448,0.343283582089552
"305",1997,"MONTANA",135,0,135,1,0
"306",1997,"NEBRASKA",151.6,99,250.6,0.604948124501197,0.395051875498803
"307",1997,"NEW MEXICO",175,0,175,1,0
"308",1997,"NORTH DAKOTA",121.7,96.4,218.1,0.558000917010546,0.441999082989454
"309",1997,"OKLAHOMA",163.4,89,252.4,0.647385103011094,0.352614896988906
"310",1997,"SOUTH DAKOTA",133,94.1,227.1,0.585645090268604,0.414354909731396
"311",1997,"TEXAS",182.3,87.8,270.1,0.674935209181785,0.325064790818215
"312",1997,"WYOMING",137,50,187,0.732620320855615,0.267379679144385
"313",1998,"COLORADO",167.5,67.5,235,0.712765957446808,0.287234042553192
"314",1998,"KANSAS",181,104,285,0.635087719298246,0.364912280701754
"315",1998,"MONTANA",115,0,115,1,0
"316",1998,"NEBRASKA",161.3,119,280.3,0.575454869782376,0.424545130217624
"317",1998,"NEW MEXICO",165,0,165,1,0
"318",1998,"NORTH DAKOTA",134.5,104.6,239.1,0.562526139690506,0.437473860309494
"319",1998,"OKLAHOMA",158.1,55,213.1,0.741905208822149,0.258094791177851
"320",1998,"SOUTH DAKOTA",150,119.7,269.7,0.556173526140156,0.443826473859844
"321",1998,"TEXAS",157,32.9,189.9,0.826750921537651,0.173249078462349
"322",1998,"WYOMING",131,52,183,0.715846994535519,0.284153005464481
"323",1999,"COLORADO",167.5,68.5,236,0.709745762711864,0.290254237288136
"324",1999,"KANSAS",182,93,275,0.661818181818182,0.338181818181818
"325",1999,"MONTANA",110,0,110,1,0
"326",1999,"NEBRASKA",159.4,111,270.4,0.589497041420118,0.410502958579882
"327",1999,"NEW MEXICO",180,0,180,1,0
"328",1999,"NORTH DAKOTA",146.1,114.2,260.3,0.561275451402228,0.438724548597772
"329",1999,"OKLAHOMA",186.3,76.2,262.5,0.709714285714286,0.290285714285714
"330",1999,"SOUTH DAKOTA",150,111.3,261.3,0.574052812858783,0.425947187141217
"331",1999,"TEXAS",171.3,85.2,256.5,0.667836257309942,0.332163742690058
"332",1999,"WYOMING",124,46,170,0.729411764705882,0.270588235294118
"333",2000,"COLORADO",166,30.5,196.5,0.844783715012723,0.155216284987277
"334",2000,"KANSAS",175,82,257,0.680933852140078,0.319066147859922
"335",2000,"MONTANA",140,0,140,1,0
"336",2000,"NEBRASKA",154.4,84,238.4,0.647651006711409,0.352348993288591
"337",2000,"NEW MEXICO",160,0,160,1,0
"338",2000,"NORTH DAKOTA",143.7,109.5,253.2,0.567535545023697,0.432464454976303
"339",2000,"OKLAHOMA",163.6,99.3,262.9,0.622289844047166,0.377710155952834
"340",2000,"SOUTH DAKOTA",155,110.2,265.2,0.58446455505279,0.41553544494721
"341",2000,"TEXAS",165.6,86.3,251.9,0.65740373163954,0.342596268360461
"342",2000,"WYOMING",137,40,177,0.774011299435028,0.225988700564972
"343",2001,"COLORADO",175,52,227,0.770925110132159,0.229074889867841
"344",2001,"KANSAS",173,84,257,0.673151750972763,0.326848249027237
"345",2001,"MONTANA",148,0,148,1,0
"346",2001,"NEBRASKA",173,110,283,0.6113074204947,0.3886925795053
"347",2001,"NEW MEXICO",180,0,180,1,0
"348",2001,"NORTH DAKOTA",149.6,111.6,261.2,0.572741194486983,0.427258805513017
"349",2001,"OKLAHOMA",162,70.6,232.6,0.696474634565778,0.303525365434222
"350",2001,"SOUTH DAKOTA",157.8,107.1,264.9,0.595696489241223,0.404303510758777
"351",2001,"TEXAS",166.5,77.2,243.7,0.68321707016824,0.31678292983176
"352",2001,"WYOMING",128,40,168,0.761904761904762,0.238095238095238
"353",2002,"COLORADO",165.5,25,190.5,0.868766404199475,0.131233595800525
"354",2002,"KANSAS",160,60,220,0.727272727272727,0.272727272727273
"355",2002,"MONTANA",140,0,140,1,0
"356",2002,"NEBRASKA",166.2,62,228.2,0.728308501314636,0.271691498685364
"357",2002,"NEW MEXICO",175,0,175,1,0
"358",2002,"NORTH DAKOTA",142.8,112,254.8,0.56043956043956,0.43956043956044
"359",2002,"OKLAHOMA",166.7,84.7,251.4,0.663086714399364,0.336913285600636
"360",2002,"SOUTH DAKOTA",141,92.9,233.9,0.602821718683198,0.397178281316802
"361",2002,"TEXAS",187.4,64.8,252.2,0.743061062648692,0.256938937351308
"362",2002,"WYOMING",121,13,134,0.902985074626866,0.0970149253731343
"363",2003,"COLORADO",167,27.5,194.5,0.858611825192802,0.141388174807198
"364",2003,"KANSAS",169,61,230,0.734782608695652,0.265217391304348
"365",2003,"MONTANA",140,0,140,1,0
"366",2003,"NEBRASKA",185.5,82,267.5,0.693457943925234,0.306542056074766
"367",2003,"NEW MEXICO",180,0,180,1,0
"368",2003,"NORTH DAKOTA",140.9,110.1,251,0.561354581673307,0.438645418326693
"369",2003,"OKLAHOMA",150.5,93.5,244,0.616803278688525,0.383196721311475
